Table: Table_1

Date ,Dine in sales ,Takeaway Sales COLD FOOD ,Total Sales ,Cash ,Tips ,
1 ,1688.- ,814.3 ,2502.3 ,132.8 ,146.06 ,
2 ,2979. ,1615.4 ,4594.4 ,422.6 ,15915 ,
3 ,4551.9 ,2533.3 ,708512 ,564.5 ,295.5 ,
4 ,1140.3 ,794.7 ,1935. ,219.8 ,71.1 ,
5 ,,,,,,
6 ,"1047,5" ,761.2 ,1808.7 ,40.7 ,106.5 ,
7 ,759.2 ,554.9 ,1314.1 ,598 ,61.4 ,
8 ,1127.3 ,579.9 ,1707.2 ,0 ,102.4 ,
9 ,2528. ,20843 ,4612-4 ,"362,6" ,253.6 ,
10 ,4136.8 ,2521.4 ,665812 ,588.7 ,38/12 ,
11 ,1540.1 ,11751 ,"2715,1" ,226.8 ,175.9 ,
12 ,,,,,,
13 ,1469.5 ,991.3 ,2460.8 ,22415 ,93.8 ,
14 ,2153.8 ,1449.8 ,3603.6 ,253.9 ,"130,55" ,
15 ,1832.3 ,1145-1 ,2977.4 ,301-4 ,133.17 ,
16 ,3313.2 ,1848.8 ,$162.04 ,34815 ,254.16 ,
17 ,4342.2 ,2423.3 ,676515 ,3567 ,325.5 ,
18 ,17109 ,917.7 ,262816 ,"286,9" ,116.5 ,
19 ,,,,,,
20 ,1809.2 ,1030.9 ,2840.1 ,129.8 ,143.91 ,
21 ,850.7 ,455.3 ,"1306,2" ,253.1 ,55144 ,
22 ,708131812 ,( 545.5 ,2863.7 ,31.- ,195.9 ,
23 ,3081.12 ,1761.4 ,48426 ,22811 ,172.7 ,
24 ,4461.3 ,2523.0 ,6984.3 ,252.4 ,288.7 ,
25 ,1522.8 ,1176-7 ,2699.5 ,140.7 ,127.4 ,
26 ,,,,,,
27 ,826.6 ,533.3 ,1359.9 ,115.2 ,31.7 ,
28 ,1093.3 ,656.9 ,1750.2 ,267.2 ,67. ,
29 ,1375.5 ,873.3 ,2248.8 ,133.42 ,95.95 ,





