Table: Table_1

Date ,Pmnt Type ,Details ,Money Out (£) ,Money In (£) ,Balance (£) ,
23 Mar 21 ,,STATEMENT OPENING BALANCE ,,,4,492.29 ,
24 Mar 21 ,BGC ,STICHTING CUSTODIA ,,83.23 ,4,575.52 ,
26 Mar 21 ,BGC ,JUSTEAT.CO.UKLTD ,,2.90 ,4,578.42 ,
29 Mar 21 ,DEB ,SAINSBURYS PETROL CD 6917 28MAR21 ,65.93 ,,4,512.49 ,
A ,Be changes you ,ready for Soon, you'll notice differences when when If we haven't got your latest phone online purchases with your card may shop online or call us. Find out more at ,you're shopping numbers, or you don't be declined. To thalifax.co.uk/aboutonline/changes-to-online-banking ,online, as we'll need have our Mobile update your numbers, ,to check it's really you. Banking App, your log on, visit a branch ,
29Mar21 ,DEB ,TESCOSTORESLTDCD6917 ,3.45 ,,4,509.04 ,
30Mar21 ,FPI ,ROOFOODSLIMITED710486570100 ,,68.93 ,4,577.97 ,
30Mar21 ,DEB ,SAINSBURYSPETROLCD6917 ,20.00 ,,4,557.97 ,
31Mar21 ,BGC ,STICHTINGCUSTODIA ,,87.03 ,4,645.00 ,
31Mar21 ,DEB ,YOURLOCALCD6917 ,2.00 ,,4,643.00 ,
31Mar21 ,DEB ,ASDASTORES4278CD6917 ,12.96 ,,4,630.04 ,
01Apr21 ,BGC ,JUSTEAT.CO.UKLTD ,,78.55 ,4,708.59 ,
01Apr21 ,DEB ,YOURLOCALCD6917 ,1.49 ,,4,707.10 ,
01Apr21 ,DEB ,YOURLOCALCD6917 ,2.87 ,,4,704.23 ,
01Apr21 ,DEB ,YOURLOCALCD6917 ,11.46 ,,4,692.77 ,
01Apr21 ,DEB ,LIDLGBIPSWICHCD6917 ,13.98 ,,4,678.79 ,
01Apr21 ,DEB ,DOMINOSPIZZACD6917 ,20.00 ,,4,658.79 ,
06Apr21 ,DEB ,MCDONALDSCD6917 04APR21 ,5.16 ,,4,653.63 ,
06Apr21 ,DEB ,PAPAKYCOFFEESHOPCD691704APR21 ,6.00 ,,4,647.63 ,
06Apr21 ,DEB ,TESCOSTORESLTDCD6917 05APR21 ,2.30 ,,4,645.33 ,
06Apr21 ,DEB ,SAINSBURYSPETROLCD6917 ,66.32 ,,4,579.01 ,
06Apr21 ,FPI ,ROOFOODSLIMITED710503897700 ,,23.58 ,4,602.59 ,
07Apr21. ,DEB ,POSTOFFICECOUNTECD6917 ,4.85 ,,4,597.74 ,
08Apr21 ,BGC ,STICHTINGCUSTODIA ,,40.03 ,4,637.77 ,
09Apr21 ,BGC ,JUSTEAT.CO.UKLTD ,,44.45 ,4,682.22 ,
09Apr21 ,DEB ,PAPAKYCOFFEESHOPCD6917 ,6.00 ,,4,676.22 ,
09Apr21 ,DEB. ,LIDLGBIPSWICHCD6917 ,10.06 ,,4,666.16 ,
12Apr21 ,DEB ,FARMFOODS695CD6917 10APR21 ,25.65 ,,4,640.51 ,
12Apr21 ,DEB ,WMMORRISONSSTORECD6917 11APR21 ,13.33 ,,4,627.18 ,
13Apr21 ,DEB ,ASDASTORES/PETROLCD6917 ,66.74 ,,4,560.44 ,
14Apr21 ,BGC ,STICHTINGCUSTODIA ,,84.12 ,4,644.56 ,
14Apr21. ,CPT ,LNKIPSWICH2CD691714APR21 ,30.00 ,,4,614.56 ,
14Apr21 ,FPI ,ROOFOODSLIMITED710542173600 ,,70.75 ,4,685.31 ,
14Apr21 ,CPT ,LNKSAINSBURYSBANCD691714APR21 ,20.00 ,,4,665.31 ,
15Apr21 ,DEB ,VILSONCARWASHANCD6917 ,6.00 ,,4,659.31 ,
(Continued ,on next ,page) ,,,,





